benchmark	phase	run	exit_code	wall_seconds
gaussian-cuda	build	0	0	NA
gaussian-cuda	warmup	1	0	22.23
gaussian-cuda	measured	1	0	22.30
gaussian-cuda	measured	2	0	22.38
gaussian-cuda	measured	3	0	22.33
gaussian-cuda	measured	4	0	22.39
gaussian-cuda	measured	5	0	22.34
heat-cuda	build	0	0	NA
heat-cuda	warmup	1	0	1.09
heat-cuda	measured	1	0	1.09
heat-cuda	measured	2	0	1.10
heat-cuda	measured	3	0	1.06
heat-cuda	measured	4	0	1.06
heat-cuda	measured	5	0	1.09
histogram-cuda	build	0	0	NA
histogram-cuda	warmup	1	0	0.74
histogram-cuda	measured	1	0	0.70
histogram-cuda	measured	2	0	0.76
histogram-cuda	measured	3	0	0.84
histogram-cuda	measured	4	0	0.77
histogram-cuda	measured	5	0	0.74
hotspot-cuda	build	0	0	NA
hotspot-cuda	warmup	1	0	0.76
hotspot-cuda	measured	1	0	0.77
hotspot-cuda	measured	2	0	0.74
hotspot-cuda	measured	3	0	0.77
hotspot-cuda	measured	4	0	0.74
hotspot-cuda	measured	5	0	0.72
hotspot3D-cuda	build	0	0	NA
hotspot3D-cuda	warmup	1	0	41.78
hotspot3D-cuda	measured	1	0	41.70
hotspot3D-cuda	measured	2	0	41.82
hotspot3D-cuda	measured	3	0	41.78
hotspot3D-cuda	measured	4	0	41.73
hotspot3D-cuda	measured	5	0	41.53
jaccard-cuda	build	0	0	NA
jaccard-cuda	warmup	1	0	12.61
jaccard-cuda	measured	1	0	12.55
jaccard-cuda	measured	2	0	12.56
jaccard-cuda	measured	3	0	12.58
jaccard-cuda	measured	4	0	12.55
jaccard-cuda	measured	5	0	12.56
jacobi-cuda	build	0	0	NA
jacobi-cuda	warmup	1	0	0.72
jacobi-cuda	measured	1	0	0.68
jacobi-cuda	measured	2	0	0.72
jacobi-cuda	measured	3	0	0.70
jacobi-cuda	measured	4	0	0.76
jacobi-cuda	measured	5	0	0.71
laplace3d-cuda	build	0	0	NA
laplace3d-cuda	warmup	1	0	1.70
laplace3d-cuda	measured	1	0	1.69
laplace3d-cuda	measured	2	0	1.68
laplace3d-cuda	measured	3	0	1.69
laplace3d-cuda	measured	4	0	1.69
laplace3d-cuda	measured	5	0	1.67
lavaMD-cuda	build	0	0	NA
lavaMD-cuda	warmup	1	0	0.42
lavaMD-cuda	measured	1	0	0.39
lavaMD-cuda	measured	2	0	0.40
lavaMD-cuda	measured	3	0	0.40
lavaMD-cuda	measured	4	0	0.43
lavaMD-cuda	measured	5	0	0.40
miniWeather-cuda	build	0	0	NA
miniWeather-cuda	warmup	1	0	2.42
miniWeather-cuda	measured	1	0	2.26
miniWeather-cuda	measured	2	0	2.48
miniWeather-cuda	measured	3	0	2.26
miniWeather-cuda	measured	4	0	2.26
miniWeather-cuda	measured	5	0	2.27
nbody-cuda	build	0	0	NA
nbody-cuda	warmup	1	0	12.98
nbody-cuda	measured	1	0	13.10
nbody-cuda	measured	2	0	12.99
nbody-cuda	measured	3	0	13.13
nbody-cuda	measured	4	0	13.13
nbody-cuda	measured	5	0	13.10
nw-cuda	build	0	0	NA
nw-cuda	warmup	1	0	7.64
nw-cuda	measured	1	0	7.54
nw-cuda	measured	2	0	7.59
nw-cuda	measured	3	0	7.63
nw-cuda	measured	4	0	7.56
nw-cuda	measured	5	0	7.58
scan-cuda	build	0	0	NA
scan-cuda	warmup	1	0	258.09
scan-cuda	measured	1	0	258.84
scan-cuda	measured	2	0	257.72
scan-cuda	measured	3	0	257.89
scan-cuda	measured	4	0	258.09
scan-cuda	measured	5	0	258.45
snake-cuda	build	0	0	NA
snake-cuda	warmup	1	0	9.89
snake-cuda	measured	1	0	9.82
snake-cuda	measured	2	0	9.82
snake-cuda	measured	3	0	9.83
snake-cuda	measured	4	0	9.83
snake-cuda	measured	5	0	9.83
sobel-cuda	build	0	0	NA
sobel-cuda	warmup	1	0	1.04
sobel-cuda	measured	1	0	1.05
sobel-cuda	measured	2	0	1.04
sobel-cuda	measured	3	0	1.09
sobel-cuda	measured	4	0	1.04
sobel-cuda	measured	5	0	1.14
stencil3d-cuda	build	0	0	NA
stencil3d-cuda	warmup	1	0	16.73
stencil3d-cuda	measured	1	0	10.19
stencil3d-cuda	measured	2	0	10.26
stencil3d-cuda	measured	3	0	10.30
stencil3d-cuda	measured	4	0	10.25
stencil3d-cuda	measured	5	0	10.31
thomas-cuda	build	0	0	NA
thomas-cuda	warmup	1	0	20.45
thomas-cuda	measured	1	0	20.39
thomas-cuda	measured	2	0	20.37
thomas-cuda	measured	3	0	20.42
thomas-cuda	measured	4	0	20.40
thomas-cuda	measured	5	0	20.46
xsbench-cuda	build	0	0	NA
xsbench-cuda	warmup	1	0	57.32
xsbench-cuda	measured	1	0	60.40
xsbench-cuda	measured	2	0	57.69
xsbench-cuda	measured	3	0	60.37
xsbench-cuda	measured	4	0	59.38
xsbench-cuda	measured	5	0	59.75
srad-cuda	build	0	0	NA
srad-cuda	warmup	1	0	0.27
srad-cuda	measured	1	0	0.24
srad-cuda	measured	2	0	0.24
srad-cuda	measured	3	0	0.24
srad-cuda	measured	4	0	0.24
srad-cuda	measured	5	0	0.24
