benchmark,metric,unit,direction,role,runs,median,mean,stddev,min,max
convolution1D-cuda,mask_3.fp64.conv1d-tiled.block_1024,ms,lower,primary,5,2.8097546390000003,2.8097601564,8.270452925347404e-05,2.809629639,2.8098879390000002
convolution1D-cuda,mask_3.fp64.conv1d-tiled.block_128,ms,lower,primary,5,2.774284668,2.77430459,0.00013694413636357658,2.7741528320000004,2.774553223
convolution1D-cuda,mask_3.fp64.conv1d-tiled.block_256,ms,lower,primary,5,2.796915039,2.7969681152,0.0001650017789546111,2.796805664,2.797275635
convolution1D-cuda,mask_3.fp64.conv1d-tiled.block_512,ms,lower,primary,5,2.80392334,2.803941504,4.740828736425958e-05,2.8039016109999997,2.804034424
convolution1D-cuda,mask_3.fp64.conv1d-tiled.block_64,ms,lower,primary,5,2.984222656,2.9842145996,6.785379198440563e-05,2.9841115719999998,2.9843046880000004
convolution1D-cuda,mask_3.fp64.conv1d.block_1024,ms,lower,primary,5,2.711652588,2.7116726562,7.377262674298494e-05,2.711592285,2.711793213
convolution1D-cuda,mask_3.fp64.conv1d.block_128,ms,lower,primary,5,2.679238281,2.6792419434,3.5749001679140774e-05,2.6792058109999997,2.6793015140000005
convolution1D-cuda,mask_3.fp64.conv1d.block_256,ms,lower,primary,5,2.683398193,2.6834041502,1.5237750298715117e-05,2.683385986,2.6834291990000003
convolution1D-cuda,mask_3.fp64.conv1d.block_512,ms,lower,primary,5,2.69141748,2.6914345216,3.5929458073286585e-05,2.691391846,2.6914821780000002
convolution1D-cuda,mask_3.fp64.conv1d.block_64,ms,lower,primary,5,2.982915283,2.9829044432000003,5.999012799268317e-05,2.982823242,2.9829916990000003
convolution1D-cuda,mask_3.int16.conv1d-tiled-caching.block_1024,ms,lower,primary,5,1.4702977289999999,1.470344092,0.00014340059737254343,1.470209351,1.470610596
convolution1D-cuda,mask_3.int16.conv1d-tiled-caching.block_128,ms,lower,primary,5,1.4925561520000001,1.4925684082000001,7.692307178055747e-05,1.49244397,1.492676514
convolution1D-cuda,mask_3.int16.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.345777466,1.3458016846,0.00027870867090403417,1.345437622,1.346192749
convolution1D-cuda,mask_3.int16.conv1d-tiled-caching.block_512,ms,lower,primary,5,1.3939552000000002,1.3939950928,0.0001156348637936298,1.393858276,1.3941779790000002
convolution1D-cuda,mask_3.int16.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.967530029,2.9675311522000003,4.8851065308424654e-05,2.967466797,2.9676135250000004
convolution1D-cuda,mask_3.int16.conv1d-tiled.block_1024,ms,lower,primary,5,1.3150395510000001,1.3151487304,0.00021784659235027774,1.31494519,1.315540771
convolution1D-cuda,mask_3.int16.conv1d-tiled.block_128,ms,lower,primary,5,1.497147827,1.4971656738,4.184630345157831e-05,1.497130737,1.497246094
convolution1D-cuda,mask_3.int16.conv1d-tiled.block_256,ms,lower,primary,5,1.340501831,1.340528711,0.00025930075133872487,1.3401929929999998,1.340897217
convolution1D-cuda,mask_3.int16.conv1d-tiled.block_512,ms,lower,primary,5,1.292214722,1.2922897462,0.00015604910025432517,1.292131226,1.292537231
convolution1D-cuda,mask_3.int16.conv1d-tiled.block_64,ms,lower,primary,5,2.966749512,2.9667815429999997,5.738900520825072e-05,2.9667104490000002,2.966857422
convolution1D-cuda,mask_3.int16.conv1d.block_1024,ms,lower,primary,5,1.1192738039999999,1.1192986329999999,0.0002795322812835455,1.1190264890000001,1.119799561
convolution1D-cuda,mask_3.int16.conv1d.block_128,ms,lower,primary,5,1.487533203,1.4875412108,2.236342634213157e-05,1.487519531,1.487581909
convolution1D-cuda,mask_3.int16.conv1d.block_256,ms,lower,primary,5,1.1302148440000002,1.1302218262000001,7.389293423700388e-05,1.130133179,1.1303236079999999
convolution1D-cuda,mask_3.int16.conv1d.block_512,ms,lower,primary,5,1.100301758,1.1004468262,0.00022952577623040822,1.10020813,1.100803345
convolution1D-cuda,mask_3.int16.conv1d.block_64,ms,lower,primary,5,2.96594873,2.965953711,5.885674274714935e-05,2.96588916,2.9660322270000004
convolution1D-cuda,mask_5.fp32.conv1d-tiled-caching.block_1024,ms,lower,primary,5,1.842356689,1.8425768066000001,0.0004348716094594461,1.842057251,1.843227417
convolution1D-cuda,mask_5.fp32.conv1d-tiled-caching.block_128,ms,lower,primary,5,1.8696286620000002,1.8695212646000001,0.00032975481901111444,1.869121094,1.869967651
convolution1D-cuda,mask_5.fp32.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.770076904,1.7699181884000001,0.00042034230127012043,1.7693243410000001,1.7704995120000002
convolution1D-cuda,mask_5.fp32.conv1d-tiled-caching.block_512,ms,lower,primary,5,1.7810958250000002,1.7809389162,0.00036265711435480753,1.780440186,1.78141626
convolution1D-cuda,mask_5.fp32.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.9702702640000003,2.9702979494000004,5.5018764150500805e-05,2.970243652,2.9703952640000004
convolution1D-cuda,mask_5.fp32.conv1d-tiled.block_1024,ms,lower,primary,5,1.809867554,1.8099808838,0.0001486627796449892,1.809855591,1.8101802980000001
convolution1D-cuda,mask_5.fp32.conv1d-tiled.block_128,ms,lower,primary,5,1.8074321290000002,1.8073235354000001,0.0001786965732515177,1.8070952150000001,1.807511597
convolution1D-cuda,mask_5.fp32.conv1d-tiled.block_256,ms,lower,primary,5,1.756526611,1.7565082274000001,3.665572572248162e-05,1.756436401,1.756536255
convolution1D-cuda,mask_5.fp32.conv1d-tiled.block_512,ms,lower,primary,5,1.765184692,1.7652140136,0.00011158203633301635,1.765052979,1.7653914789999998
convolution1D-cuda,mask_5.fp32.conv1d-tiled.block_64,ms,lower,primary,5,2.970463867,2.970471338,3.6838271463302245e-05,2.9704240719999997,2.970537598
convolution1D-cuda,mask_5.fp32.conv1d.block_1024,ms,lower,primary,5,1.45038623,1.450348706,0.00013107592912353378,1.45019104,1.450488525
convolution1D-cuda,mask_5.fp32.conv1d.block_128,ms,lower,primary,5,1.488661377,1.4886826172,4.8199709237282446e-05,1.4886473390000001,1.488776245
convolution1D-cuda,mask_5.fp32.conv1d.block_256,ms,lower,primary,5,1.414347656,1.4143237791999999,0.0001124029605097736,1.414120361,1.414425781
convolution1D-cuda,mask_5.fp32.conv1d.block_512,ms,lower,primary,5,1.411613892,1.4115906740000002,5.4454192371182e-05,1.41152063,1.411653931
convolution1D-cuda,mask_5.fp32.conv1d.block_64,ms,lower,primary,5,2.9885998540000003,2.9910594240000004,0.006924035563577392,2.981146484,2.9991130370000003
convolution1D-cuda,mask_5.fp64.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.753127686,2.7531341308,8.645665307275717e-05,2.753028564,2.753256348
convolution1D-cuda,mask_5.fp64.conv1d-tiled-caching.block_128,ms,lower,primary,5,2.726423828,2.7264684568,5.8612307350609075e-05,2.7264184570000003,2.726557617
convolution1D-cuda,mask_5.fp64.conv1d-tiled-caching.block_256,ms,lower,primary,5,2.7243940429999998,2.7244125489999997,8.424586734792607e-05,2.724324707,2.72455127
convolution1D-cuda,mask_5.fp64.conv1d-tiled-caching.block_512,ms,lower,primary,5,2.7350539549999997,2.7351910156,0.00022280225002604425,2.734988281,2.735549561
convolution1D-cuda,mask_5.fp64.conv1d-tiled-caching.block_64,ms,lower,primary,5,3.001891602,3.001815381,0.00030468114415963356,3.001291992,3.002176758
convolution1D-cuda,mask_5.fp64.conv1d-tiled.block_1024,ms,lower,primary,5,2.916657471,2.9166616700000003,0.0001945434773432225,2.9163513180000002,2.916924561
convolution1D-cuda,mask_5.fp64.conv1d-tiled.block_128,ms,lower,primary,5,2.83392041,2.8338041504,0.0002197674667331168,2.833390137,2.833995117
convolution1D-cuda,mask_5.fp64.conv1d-tiled.block_256,ms,lower,primary,5,2.8593500979999997,2.8593446287999997,0.00014250876594992334,2.859095703,2.859501953
convolution1D-cuda,mask_5.fp64.conv1d-tiled.block_512,ms,lower,primary,5,2.8833903810000003,2.8833157226000004,0.0001622643005872093,2.883108398,2.883500977
convolution1D-cuda,mask_5.fp64.conv1d-tiled.block_64,ms,lower,primary,5,2.98951001,2.9895444824,9.888659983761423e-05,2.989437012,2.989696289
convolution1D-cuda,mask_5.fp64.conv1d.block_1024,ms,lower,primary,5,2.710749512,2.7108246584,0.00012920190209221694,2.710702881,2.7109880370000004
convolution1D-cuda,mask_5.fp64.conv1d.block_128,ms,lower,primary,5,2.684514648,2.6845026368,2.9019437398835184e-05,2.6844685060000004,2.684539551
convolution1D-cuda,mask_5.fp64.conv1d.block_256,ms,lower,primary,5,2.684531982,2.6845369628,1.7796631786921424e-05,2.684511475,2.68455957
convolution1D-cuda,mask_5.fp64.conv1d.block_512,ms,lower,primary,5,2.6880041500000003,2.6880088866,1.385179896744641e-05,2.6879916990000003,2.688025635
convolution1D-cuda,mask_5.fp64.conv1d.block_64,ms,lower,primary,5,2.9856640619999997,2.9849274902,0.009774246464981845,2.973361816,2.996008057
convolution1D-cuda,mask_5.int16.conv1d-tiled-caching.block_1024,ms,lower,primary,5,1.7486655270000002,1.7491533444,0.0012899201905134637,1.7482352289999998,1.751710571
convolution1D-cuda,mask_5.int16.conv1d-tiled-caching.block_128,ms,lower,primary,5,1.592630005,1.5926222902,9.419191167490563e-05,1.592450684,1.592729126
convolution1D-cuda,mask_5.int16.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.5691673579999998,1.5691683838000001,9.733767360562518e-05,1.5690114750000002,1.569310181
convolution1D-cuda,mask_5.int16.conv1d-tiled-caching.block_512,ms,lower,primary,5,1.617742798,1.6183786376,0.0014038075255251798,1.617408447,1.621162476
convolution1D-cuda,mask_5.int16.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.967023193,2.9670407226,4.356479972002622e-05,2.966999512,2.9671250000000002
convolution1D-cuda,mask_5.int16.conv1d-tiled.block_1024,ms,lower,primary,5,1.498666992,1.4986850096000002,0.0001254452647373858,1.4985336910000002,1.498856567
convolution1D-cuda,mask_5.int16.conv1d-tiled.block_128,ms,lower,primary,5,1.562219482,1.5622367674,0.0001609092578773347,1.5620405270000002,1.56250061
convolution1D-cuda,mask_5.int16.conv1d-tiled.block_256,ms,lower,primary,5,1.500606689,1.5008030760000002,0.00031267996365165755,1.5005559080000002,1.5013732910000002
convolution1D-cuda,mask_5.int16.conv1d-tiled.block_512,ms,lower,primary,5,1.4725081789999999,1.4725526856,0.00011597476985036092,1.472397583,1.472739746
convolution1D-cuda,mask_5.int16.conv1d-tiled.block_64,ms,lower,primary,5,2.967249023,2.9672438964,2.1928165026844262e-05,2.9672202149999998,2.967279297
convolution1D-cuda,mask_5.int16.conv1d.block_1024,ms,lower,primary,5,1.2857843020000002,1.286010083,0.000496866078537753,1.2856317140000002,1.2869764399999999
convolution1D-cuda,mask_5.int16.conv1d.block_128,ms,lower,primary,5,1.486240967,1.4862491944,3.801657486727239e-05,1.486207153,1.486317627
convolution1D-cuda,mask_5.int16.conv1d.block_256,ms,lower,primary,5,1.166099731,1.166343994,0.00037755161559813226,1.165926025,1.166834717
convolution1D-cuda,mask_5.int16.conv1d.block_512,ms,lower,primary,5,1.1685349120000001,1.1688075926000001,0.0005549225920765405,1.168252808,1.169797729
convolution1D-cuda,mask_5.int16.conv1d.block_64,ms,lower,primary,5,2.967550293,2.9675620115999997,8.456756827435758e-05,2.967464111,2.967696533
convolution1D-cuda,mask_7.fp32.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.1305478520000003,2.1311874512,0.0014329739670586028,2.130233154,2.134029297
convolution1D-cuda,mask_7.fp32.conv1d-tiled-caching.block_128,ms,lower,primary,5,2.0626210940000003,2.0624803712,0.0003632596327882004,2.061784424,2.062769043
convolution1D-cuda,mask_7.fp32.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.977884521,1.9775796872,0.0006960789774668648,1.9766180420000001,1.9783179929999999
convolution1D-cuda,mask_7.fp32.conv1d-tiled-caching.block_512,ms,lower,primary,5,2.009012817,2.008651123,0.0006424760965352501,2.007821167,2.009411133
convolution1D-cuda,mask_7.fp32.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.979941406,2.9800428709999998,0.000351627668298203,2.979601318,2.980611572
convolution1D-cuda,mask_7.fp32.conv1d-tiled.block_1024,ms,lower,primary,5,1.930099121,1.9301338866,7.938670522605484e-05,1.9300633539999998,1.930282837
convolution1D-cuda,mask_7.fp32.conv1d-tiled.block_128,ms,lower,primary,5,1.8990162350000002,1.8989938232,0.00010433927201091198,1.8988695070000001,1.8991114500000001
convolution1D-cuda,mask_7.fp32.conv1d-tiled.block_256,ms,lower,primary,5,1.8862883300000002,1.8862864014,0.0002159573830251307,1.885977051,1.8866430660000002
convolution1D-cuda,mask_7.fp32.conv1d-tiled.block_512,ms,lower,primary,5,1.9068012699999999,1.9067403322,0.00015011391269885964,1.9065311280000001,1.9069339600000002
convolution1D-cuda,mask_7.fp32.conv1d-tiled.block_64,ms,lower,primary,5,2.9741921390000003,2.9741893068,9.162078134653337e-05,2.974084717,2.974336182
convolution1D-cuda,mask_7.fp32.conv1d.block_1024,ms,lower,primary,5,1.58043335,1.5805146972,0.00021562863322430455,1.580276611,1.580913452
convolution1D-cuda,mask_7.fp32.conv1d.block_128,ms,lower,primary,5,1.566998413,1.567062207,0.00023300733120477154,1.5668039550000001,1.567463501
convolution1D-cuda,mask_7.fp32.conv1d.block_256,ms,lower,primary,5,1.523933472,1.5239433838,0.0001013904654183498,1.523812866,1.524102173
convolution1D-cuda,mask_7.fp32.conv1d.block_512,ms,lower,primary,5,1.537060791,1.5371589354,0.00016469429115857772,1.5369899900000001,1.53741272
convolution1D-cuda,mask_7.fp32.conv1d.block_64,ms,lower,primary,5,2.992273682,2.9948276368,0.005365341839803416,2.988781494,3.002914795
convolution1D-cuda,mask_7.fp64.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.804592773,2.8046126462,0.0001763560527198482,2.804376709,2.8049208979999998
convolution1D-cuda,mask_7.fp64.conv1d-tiled-caching.block_128,ms,lower,primary,5,2.7696523440000003,2.769620166,6.528360781386126e-05,2.7695209960000002,2.769699951
convolution1D-cuda,mask_7.fp64.conv1d-tiled-caching.block_256,ms,lower,primary,5,2.763281006,2.7633194336,6.034082379824592e-05,2.763259521,2.7634191890000004
convolution1D-cuda,mask_7.fp64.conv1d-tiled-caching.block_512,ms,lower,primary,5,2.778676758,2.778700781,0.00012575054649425504,2.778571533,2.778936523
convolution1D-cuda,mask_7.fp64.conv1d-tiled-caching.block_64,ms,lower,primary,5,3.0195314939999998,3.0193201172,0.00048054169909442083,3.018503174,3.0198010250000005
convolution1D-cuda,mask_7.fp64.conv1d-tiled.block_1024,ms,lower,primary,5,3.031678711,3.0316605468,0.00022455701977920723,3.031279785,3.031922119
convolution1D-cuda,mask_7.fp64.conv1d-tiled.block_128,ms,lower,primary,5,2.904764648,2.9047907714,8.503878622742672e-05,2.904701172,2.9048920899999997
convolution1D-cuda,mask_7.fp64.conv1d-tiled.block_256,ms,lower,primary,5,2.961984863,2.9620163574,8.903987046398012e-05,2.961941895,2.962188232
convolution1D-cuda,mask_7.fp64.conv1d-tiled.block_512,ms,lower,primary,5,2.9976264649999997,2.9975866212,0.00016845317813019283,2.997344482,2.997849854
convolution1D-cuda,mask_7.fp64.conv1d-tiled.block_64,ms,lower,primary,5,2.9953430180000002,2.9953220216000003,0.00012951603306708635,2.9951391600000004,2.995516846
convolution1D-cuda,mask_7.fp64.conv1d.block_1024,ms,lower,primary,5,2.710858887,2.7108448242,3.283862449265701e-05,2.7107846679999996,2.710875244
convolution1D-cuda,mask_7.fp64.conv1d.block_128,ms,lower,primary,5,2.700021973,2.7000175781999998,2.3310738490165313e-05,2.699986816,2.700055176
convolution1D-cuda,mask_7.fp64.conv1d.block_256,ms,lower,primary,5,2.7027827149999997,2.7028104982,4.5442726068845146e-05,2.702770508,2.7028886720000003
convolution1D-cuda,mask_7.fp64.conv1d.block_512,ms,lower,primary,5,2.711412598,2.7113839356,5.182444020577649e-05,2.71129126,2.711428223
convolution1D-cuda,mask_7.fp64.conv1d.block_64,ms,lower,primary,5,2.9987680660000002,3.0060649412,0.010089331143733176,2.99695166,3.021615723
convolution1D-cuda,mask_7.int16.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.104132568,2.104266748,0.0018749893998760243,2.1021123050000003,2.107341797
convolution1D-cuda,mask_7.int16.conv1d-tiled-caching.block_128,ms,lower,primary,5,1.993170166,1.9940345946,0.0014980407870928336,1.99244751,1.995862915
convolution1D-cuda,mask_7.int16.conv1d-tiled-caching.block_256,ms,lower,primary,5,1.960437012,1.9599358888,0.001086297900656127,1.957977173,1.9610924070000002
convolution1D-cuda,mask_7.int16.conv1d-tiled-caching.block_512,ms,lower,primary,5,1.975876343,1.9754803956,0.0013159502703767201,1.973631592,1.977192627
convolution1D-cuda,mask_7.int16.conv1d-tiled-caching.block_64,ms,lower,primary,5,2.966092529,2.9661630368,0.0002955251443152034,2.965929443,2.9667314449999997
convolution1D-cuda,mask_7.int16.conv1d-tiled.block_1024,ms,lower,primary,5,1.7080045170000002,1.7081307864000002,0.0004248017057073705,1.707712891,1.7089111330000002
convolution1D-cuda,mask_7.int16.conv1d-tiled.block_128,ms,lower,primary,5,1.7765269780000001,1.7765719238,0.0001202755376980167,1.776428955,1.776736694
convolution1D-cuda,mask_7.int16.conv1d-tiled.block_256,ms,lower,primary,5,1.711385376,1.7113748536,0.00013656657479583638,1.71120813,1.7115289310000001
convolution1D-cuda,mask_7.int16.conv1d-tiled.block_512,ms,lower,primary,5,1.684087158,1.6841866454,0.00017745994706024995,1.6840014650000001,1.684461548
convolution1D-cuda,mask_7.int16.conv1d-tiled.block_64,ms,lower,primary,5,2.967423096,2.9674222656,3.70445516242808e-05,2.967363525,2.9674685060000003
convolution1D-cuda,mask_7.int16.conv1d.block_1024,ms,lower,primary,5,1.6192989500000001,1.6195912596,0.000840668222072095,1.6188718260000001,1.621241211
convolution1D-cuda,mask_7.int16.conv1d.block_128,ms,lower,primary,5,1.5735837400000001,1.5734935056,0.0001667856718553271,1.573182617,1.573625488
convolution1D-cuda,mask_7.int16.conv1d.block_256,ms,lower,primary,5,1.529788452,1.5298675292,0.00012309349977214075,1.529753784,1.530067261
convolution1D-cuda,mask_7.int16.conv1d.block_512,ms,lower,primary,5,1.522009155,1.5222162354,0.00044451246151741553,1.521737305,1.522885132
convolution1D-cuda,mask_7.int16.conv1d.block_64,ms,lower,primary,5,2.999114746,2.9963109864,0.008278112761899511,2.980867676,3.0045622560000003
convolution1D-cuda,mask_9.fp32.conv1d-tiled-caching.block_1024,ms,lower,primary,5,2.280765137,2.2805212402,0.0008029299281320107,2.279247314,2.281435059
convolution1D-cuda,mask_9.fp32.conv1d-tiled-caching.block_128,ms,lower,primary,5,2.2048659670000004,2.2048692384,0.0003274205629967006,2.20444165,2.2053134770000002
convolution1D-cuda,mask_9.fp32.conv1d-tiled-caching.block_256,ms,lower,primary,5,2.124604004,2.1245191408,0.0001855647049601743,2.1241921390000003,2.124707764
convolution1D-cuda,mask_9.fp32.conv1d-tiled-caching.block_512,ms,lower,primary,5,2.163746826,2.163496533,0.000507987466283448,2.162783691,2.164116455
