benchmark,run,metric,value,unit,direction,role,source
atomicReduction-cuda,2,atomic_reduction_v8.block_512,787.773,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v16.block_512,686.496,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction.block_1024,770.672,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v2.block_1024,848.97,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v4.block_1024,848.844,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v8.block_1024,827.278,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,2,atomic_reduction_v16.block_1024,587.357,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-2.log
atomicReduction-cuda,3,atomic_reduction.block_128,690.755,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v2.block_128,845.521,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v4.block_128,850.69,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v8.block_128,834.299,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v16.block_128,722.367,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction.block_256,702.896,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v2.block_256,836.464,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v4.block_256,863.54,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v8.block_256,846.104,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v16.block_256,728.311,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction.block_512,752.64,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v2.block_512,825.973,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v4.block_512,850.981,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v8.block_512,787.078,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v16.block_512,686.959,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction.block_1024,770.627,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v2.block_1024,848.954,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v4.block_1024,848.148,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v8.block_1024,827.979,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,3,atomic_reduction_v16.block_1024,588.284,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-3.log
atomicReduction-cuda,4,atomic_reduction.block_128,690.219,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v2.block_128,846.038,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v4.block_128,850.581,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v8.block_128,833.999,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v16.block_128,722.218,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction.block_256,702.97,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v2.block_256,837.321,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v4.block_256,863.338,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v8.block_256,846.134,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v16.block_256,729.188,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction.block_512,752.331,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v2.block_512,825.238,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v4.block_512,850.928,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v8.block_512,787.501,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v16.block_512,687.371,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction.block_1024,770.511,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v2.block_1024,848.871,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v4.block_1024,847.876,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v8.block_1024,828.415,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,4,atomic_reduction_v16.block_1024,588.874,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-4.log
atomicReduction-cuda,5,atomic_reduction.block_128,691.094,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v2.block_128,845.17,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v4.block_128,851.729,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v8.block_128,834.673,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v16.block_128,722.49,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction.block_256,703.595,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v2.block_256,837.439,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v4.block_256,863.378,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v8.block_256,846.157,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v16.block_256,728.684,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction.block_512,752.993,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v2.block_512,825.838,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v4.block_512,850.771,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v8.block_512,789.088,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v16.block_512,688.185,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction.block_1024,770.264,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v2.block_1024,849.124,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v4.block_1024,848.097,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v8.block_1024,828.573,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
atomicReduction-cuda,5,atomic_reduction_v16.block_1024,587.564,GB/s,higher,primary,baseline/results/951758/atomicReduction-cuda/run-5.log
bfs-cuda,1,total_kernel_execution_time,1.001259033,ms,lower,primary,baseline/results/951758/bfs-cuda/run-1.log
bfs-cuda,2,total_kernel_execution_time,0.994261047,ms,lower,primary,baseline/results/951758/bfs-cuda/run-2.log
bfs-cuda,3,total_kernel_execution_time,1.002798035,ms,lower,primary,baseline/results/951758/bfs-cuda/run-3.log
bfs-cuda,4,total_kernel_execution_time,0.994903076,ms,lower,primary,baseline/results/951758/bfs-cuda/run-4.log
bfs-cuda,5,total_kernel_execution_time,1.004023071,ms,lower,primary,baseline/results/951758/bfs-cuda/run-5.log
bilateral-cuda,1,average_kernel_execution_time.3x3,0.92044,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-1.log
bilateral-cuda,1,average_kernel_execution_time.6x6,3.405393,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-1.log
bilateral-cuda,1,average_kernel_execution_time.9x9,7.276219,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-1.log
bilateral-cuda,2,average_kernel_execution_time.3x3,0.920105,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-2.log
bilateral-cuda,2,average_kernel_execution_time.6x6,3.414552,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-2.log
bilateral-cuda,2,average_kernel_execution_time.9x9,7.274392,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-2.log
bilateral-cuda,3,average_kernel_execution_time.3x3,0.964654,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-3.log
bilateral-cuda,3,average_kernel_execution_time.6x6,3.413112,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-3.log
bilateral-cuda,3,average_kernel_execution_time.9x9,7.276366,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-3.log
bilateral-cuda,4,average_kernel_execution_time.3x3,0.919893,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-4.log
bilateral-cuda,4,average_kernel_execution_time.6x6,3.413899,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-4.log
bilateral-cuda,4,average_kernel_execution_time.9x9,7.277159,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-4.log
bilateral-cuda,5,average_kernel_execution_time.3x3,0.920257,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-5.log
bilateral-cuda,5,average_kernel_execution_time.6x6,3.415581,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-5.log
bilateral-cuda,5,average_kernel_execution_time.9x9,7.277679,ms,lower,primary,baseline/results/951758/bilateral-cuda/run-5.log
bscan-cuda,1,block_32.execution_time,0.173924418,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_32.throughput,11.127593,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_64.execution_time,0.341049274,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_64.throughput,11.349446,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_128.execution_time,0.34110151000000005,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_128.throughput,22.695415,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_256.execution_time,0.67600365,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_256.throughput,22.903546,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_512.execution_time,0.675914741,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_512.throughput,45.813118,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_1024.execution_time,0.676201237,ms,lower,primary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,1,block_1024.throughput,91.587414,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-1.log
bscan-cuda,2,block_32.execution_time,0.173884169,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_32.throughput,11.130168,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_64.execution_time,0.341022785,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_64.throughput,11.350327,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_128.execution_time,0.34115275700000003,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_128.throughput,22.692006,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_256.execution_time,0.67601919,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_256.throughput,22.90302,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_512.execution_time,0.675925303,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_512.throughput,45.812402,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_1024.execution_time,0.676225459,ms,lower,primary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,2,block_1024.throughput,91.584134,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-2.log
bscan-cuda,3,block_32.execution_time,0.17403940399999998,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_32.throughput,11.120241,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_64.execution_time,0.341339659,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_64.throughput,11.33979,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_128.execution_time,0.341513734,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_128.throughput,22.668021,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_256.execution_time,0.676147481,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_256.throughput,22.898674,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_512.execution_time,0.676075716,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_512.throughput,45.802209,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_1024.execution_time,0.67635502,ms,lower,primary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,3,block_1024.throughput,91.56659,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-3.log
bscan-cuda,4,block_32.execution_time,0.17404903600000002,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_32.throughput,11.119625,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_64.execution_time,0.341291471,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_64.throughput,11.341391,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_128.execution_time,0.341339822,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_128.throughput,22.67957,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_256.execution_time,0.676181743,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_256.throughput,22.897514,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_512.execution_time,0.676116546,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_512.throughput,45.799443,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_1024.execution_time,0.676245435,ms,lower,primary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,4,block_1024.throughput,91.581428,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-4.log
bscan-cuda,5,block_32.execution_time,0.17390929700000002,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_32.throughput,11.12856,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_64.execution_time,0.341102757,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_64.throughput,11.347666,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_128.execution_time,0.341159094,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_128.throughput,22.691584,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_256.execution_time,0.6762654659999999,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_256.throughput,22.894679,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_512.execution_time,0.675996884,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_512.throughput,45.807551,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_1024.execution_time,0.6761553020000001,ms,lower,primary,baseline/results/951758/bscan-cuda/run-5.log
bscan-cuda,5,block_1024.throughput,91.593636,GElements/s,higher,secondary,baseline/results/951758/bscan-cuda/run-5.log
convolution1D-cuda,1,mask_3.fp64.conv1d.block_64,2.982854004,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d.block_128,2.679238281,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d.block_256,2.683385986,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d.block_512,2.69141748,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d.block_1024,2.711652588,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled.block_64,2.984262939,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled.block_128,2.774318848,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled.block_256,2.796805664,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled.block_512,2.8039016109999997,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled.block_1024,2.8097546390000003,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled-caching.block_64,2.986742188,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
convolution1D-cuda,1,mask_3.fp64.conv1d-tiled-caching.block_128,2.703639893,ms,lower,primary,baseline/results/951758/convolution1D-cuda/run-1.log
